GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
Stray Kids,UNVEIL TOUR ‘I am…’,2019,1,Sudeste asiático,Tailandia,Bangkok,Thunder Dome,15000, $75.60 , $148.50 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,1,Sudeste asiático,Indonesia,Yakarta,Indonesia Convention Exhibition,10000, $63.00 , $138.60 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,2,Oceanía,Australia,Melbourne,Festival Hall,2500, $87.12 , $335.94 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,2,Oceanía,Australia,Sídney,The Big Top,3000, $87.12 , $335.94 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,4,Sudeste asiático,Filipinas,Manila,Araneta Coliseum,16500, $42.50 , $212.50 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,5,Estados Unidos,Estados Unidos,Newark,NJ Performing Arts Center,5369, $69.00 , $199.00 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,5,Estados Unidos,Estados Unidos,Newark,NJ Performing Arts Center,5369, $69.00 , $199.00 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,5,Estados Unidos,Estados Unidos,Los Ángeles,Pasadena Civil Auditorium,3000, $69.00 , $199.00 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,5,Estados Unidos,Estados Unidos,Houston,Revention Music Center,3464, $69.00 , $199.00 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,7,Europa,Inglaterra,Londres,02 Academy Brixton,4921, $113.57 , $505.18 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,7,Europa,Francia,París,Les Docks De Paris Pullman,3200, $88.70 , $97.68 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,8,Europa,Alemania,Berlín,Verti Music Hall,4350, $238.68 , $346.68 
Super Junior,Super Show 7S Encore,2019,7,Asia,Arabia Saudita,Yeda,King Abdullah Sports City Arena,62000, $-   , $-   
Girls' Generation (SNSD),SMTOWN LIVE Special Stage,2019,1,América Latina,Chile,Santiago de Chile,Estadio Nacional Julio Martínez Prádanos,49, $44.00 , $265.00 
SHINee,SMTOWN Live,2019,1,América Latina,Chile,Santiago de Chile,Estadio Nacional,46190, $59.00 , $179.00 
BTS,"BTS World Tour ""Love Yourself""",2019,1,Sudeste Asiático,Singapur ,Singapur,Singapore National Stadium ,55000, $67.46 , $266.78 
BTS,"BTS World Tour ""Love Yourself""",2019,2,Japón ,Japón,Fukuoka ,Fukuoka Yahuoku! Dome ,52000, $80.58 , $84.42 
BTS,"BTS World Tour ""Love Yourself""",2019,3,China,China ,Hong Kong ,Asia World Expo Arena ,14000, $75.78 , $320.65 
BTS,"BTS World Tour ""Love Yourself""",2019,4,Sudeste Asiático,Tailandia ,Bangkok,Rajamangala National Stadium ,51552, $60.40 , $205.35 
