GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
ZE:A 4U;Star Empire Entertainment;2013;2013;Hombres;4;0;Sin datos;
DEMION;Lions Bridge Entertainment;2013;2014;Hombres;5;0;Sin datos;
I-REX;Tarzan Entertainment;2013;2014;Hombres;5;0;Sin datos;
Notice;Gaon Entertainment;2013;2014;Hombres;6;0;Sin datos;
NU'EST-M;Pledis Entertainment;2013;2014;Hombres;6;0;Sin datos;
Champs;JS Entertainment;2013;2015;Hombres;5;0;Sin datos;
LC9;Nega Network;2013;2015;Hombres;6;0;Sin datos;
M4M;Cube Entertainment;2013;2015;Hombres;4;0;Sin datos;
M.I.K;Global Artist Entertainment;2013;2015;Hombres;4;0;Sin datos;
M.Pire;Luce Entertainment;2013;2015;Hombres;7;0;Sin datos;
Pro C;GNI Entertainment;2013;2015;Hombres;2;0;Sin datos;
J2M;TU Entertainment;2013;2016;Hombres;2;0;Sin datos;
NOM;JM STAR Entertainment;2013;2016;Hombres;5;0;Sin datos;
Infinite H;Woollim Entertainment;2013;2017;Hombres;2;0;Sin datos;
HISTORY;LOEN Entertainment;2013;2017;Hombres;5;0;Sin datos;
Say Yes;Music Factory Entertainment;2013;2017;Hombres;5;0;Sin datos;
Underdog;2ABLE Company;2013;2017;Hombres;5;;Sin datos;
Boys Republic;Happy Tribe Entertainment;2013;2018;Hombres;5;0;Sin datos;
uBEAT;NH Media;2013;2019;Hombres;3;0;Sin datos;
100% V;TOP Media;2013;2021;Hombres;4;0;Sin datos;
Xeno-T (ex Topp Dogg);Hunus Entertainment;2013;2021;Hombres;5;0;Sin datos;
AlphaBAT;Simtong Entertainment;2013; presente;Hombres;5;0;Sin datos;
BTS;Big Hit Music;2013; presente;Hombres;7;1;25.328.249;
Egobomb;Sniper Sound;2013; presente;Hombres;2;0;Sin datos;
GB9 (Gilgu Bonggu);The Music Works;2013; presente;Hombres;2;0;Sin datos;
Honey G;Chungchun Music;2013; presente;Hombres;3;0;Sin datos;
N.Flying;FNC Entertainment;2013; presente;Hombres;5;0;Sin datos;
N.O.M (Nature of Man);BROS Entertainment;2013; presente;Hombres;2;0;Sin datos;
A.T.O;CON Entertainment;2014;2014;Hombres;4;0;Sin datos;
Herycle;Gul Dduk Entertainment;2014;2014;Hombres;5;0;Sin datos;
Penta-G;Mirrorball Music;2014;2014;Hombres;5;0;Sin datos;
Toheart;Woollim Entertainment;2014;2014;Hombres;2;0;Sin datos;
X10;Happy Star Entertainment;2014;2014;Hombres;2;0;Sin datos;
Billionaire;Independiente;2014;2015;Hombres;2;0;Sin datos;
BLAST;Kings Entertainment;2014;2015;Hombres;5;0;Sin datos;
BTL;SHINHOO Entertainment;2014;2015;Hombres;8;0;Sin datos;
FameUs;KN Media;2014;2015;Hombres;6;0;Sin datos;
M.I.7;D-Business Entertainment;2014;2015;Hombres;7;0;Sin datos;
