GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2021;12;Corea del Sur;Seúl;KSPO Dome;15000;Sin datos;Sin datos
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;2;Estados Unidos;Los Ángeles;The Forum;17505;59,50 USD;199,50 USD
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;2;Estados Unidos;Oakland;Oakland Arena;19200;59,50 USD;199,50 USD
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;2;Estados Unidos;Dallas;Dickies Arena;14000;59,50 USD;199,50 USD
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;2;Estados Unidos;Atlanta;State Farm Arena;16888;59,50 USD;199,50 USD
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;2;Estados Unidos;New York;UBS Arena;17250;59,50 USD;199,50 USD
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;4;Japón;Tokio;Tokyo Dome;55000;Sin datos;Sin datos
TWICE;"TWICE 4th World Tour ""Ⅲ"" ";2022;5;Estados Unidos;Los Ángeles;Banc of California Stadium;22000;59,50 USD;199,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;4;Corea del Sur;Seúl;KSPO Dome;15000;50,00 USD;55,00 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Australia;Sídney;Qudos Bank Arena;21000;132,34 USD;234,26 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Australia;Melbourne;Rod Laver Arena;14200;132,34 USD;234,26 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Japón;Osaka;Yanmar Stadium Nagai;50000;69,84 USD;90,80 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Japón;Tokio;Ajinomoto Stadium;48013;69,84 USD;90,80 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Los Ángeles;Sofi Stadium;70000;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Oakland;Oakland Arena;19200;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Tacoma;Tacoma Dome;23000;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Arlington;Globe Life Field;40300;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Houston;Toyota Center;19000;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos;Chicago;United Center;23500;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;Canadá;Toronto;Scotiabank Arena;19800;50,04 USD;179,64 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;Estados Unidos;New Jersey;Metlife Stadium;82500;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;Estados Unidos;Atlanta;Truist Park;41084;59,50 USD;479,50 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Singapur ;Singapur;Singapore Indoor Stadium;12000;135,15 USD;266,19 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Inglaterra;Londres;The O2;20000;87,62 USD;193,54 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Francia;París;Accor Arena;20300;113,83 USD;265,84 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Alemania;Berlín ;Mercedes Benz Arena;71000;62,30 USD;232,22 USD
